id;calories;proteins;fat;carbohydrate;name;composition;origin
382;144.0;1.1;0.4;34.1;Getuk pisang;sayuran;Jawa Tengah
383;204.0;0.5;1.4;47.4;Getuk singkong;sayuran;Jawa Tengah
387;53.0;1.6;1.6;8.8;Gudeg ;sayuran;DI Yogyakarta
388;160.0;3.3;9.2;16.0;Gudeg sayur;sayuran;DI Yogyakarta
390;386.0;3.0;10.0;76.0;Gula Kelapa;sayuran;DI Yogyakarta
401;192.0;12.7;10.1;12.7;Gurame asem manis masakan;Ikan;Jawa Barat
422;296.0;17.1;20.3;11.3;Ikan bandeng presto masakan;Ikan;Jawa Timur
473;188.0;19.3;12.2;0.0;Ikan Mas goreng;Ikan;Jawa Barat
474;209.0;15.2;11.3;11.8;Ikan Mas pepes;Ikan;Jawa Barat
479;121.0;21.7;2.8;0.8;Ikan Mujair pepes;Ikan;Jawa Barat
525;474.0;7.6;21.6;62.3;Intip goreng;sayuran;Jawa Tengah
572;381.7;9.5;9.5;65.8;Jenang ;sayuran;Jawa Tengah
573;192.0;5.4;0.3;40.7;Jengkol segar;sayuran;Jawa Barat
576;44.0;0.8;0.3;10.9;Jeruk Garut;sayuran;Jawa Barat
588;533.0;27.8;38.1;28.8;Kacang atom;Kacang;Jawa Timur
594;479.0;12.7;23.2;58.9;Kacang Bogor goreng;sayuran;Jawa Timur
595;370.0;16.0;6.0;65.0;Kacang bogor kering;sayuran;Jawa Timur
596;161.0;7.7;2.8;27.1;Kacang Bogor rebus;sayuran;Jawa Timur
597;165.0;7.7;3.1;27.4;Kacang bogor segar;sayuran;Jawa Timur
641;484.0;8.8;26.1;57.7;Kacang sukro;Kacang;Jawa Timur
642;488.0;25.6;25.6;59.6;Kacang Sukro Putih ;Kacang;Jawa Timur
649;513.0;17.5;32.5;44.3;Kacang Tanah rempeyek;Kacang;Jawa Barat
653;748.0;20.8;20.8;124.8;Kacang Telur ;Telur;Jawa Timur
658;451.0;11.2;20.2;59.7;Kacang Tunggak rempeyek;sayuran;Jawa Barat
682;146.7;5.9;5.9;19.7;Karedok ;sayuran;Jawa Barat
683;92.0;2.2;3.3;14.1;Karedok sayur;sayuran;Jawa Barat
690;464.0;1.2;18.6;73.0;Kecimpring singkong goreng;sayuran;Jawa Barat
694;34.0;0.9;1.0;6.7;Kecombrang segar;sayuran;Jawa Barat
703;214.0;5.4;5.4;40.2;Kelepon ;sayuran;DI Yogyakarta
723;586.0;4.9;40.6;50.2;Keripik bayam;daging ayam, sayuran;Jawa Barat
724;446.0;2.8;14.5;76.0;Keripik gadung;sayuran;Jawa Timur
727;598.0;8.3;43.8;42.6;Keripik oncom;sayuran;Jawa Barat
728;478.0;0.9;20.7;72.0;Keripik singkong;sayuran;Jawa Barat
729;481.0;2.2;19.7;73.6;Keripik singkong berbumbu;sayuran;Jawa Barat
730;581.0;12.1;40.6;41.7;Keripik tempe;Kedelai, sayuran;Jawa Tengah
731;542.0;40.3;42.4;11.6;Keripik tempe abadi murni;Kedelai, sayuran;Jawa Tengah
732;510.0;12.3;27.9;52.4;Keripik tempe abadi sedang;Kedelai, sayuran;Jawa Tengah
733;529.0;20.8;31.7;40.2;Keripik tempe abadi telur;Telur, Kedelai, sayuran;Jawa Tengah
736;350.0;0.5;0.2;85.9;Kerupuk Aci;sayuran;Jawa Barat
739;325.0;1.8;0.4;78.5;Kerupuk kemplang  (ikan) mentah;Ikan, sayuran;Jawa Timur
740;504.0;5.6;28.1;57.1;Kerupuk kemplang goreng;sayuran;Jawa Timur
741;356.0;9.7;1.1;76.9;Kerupuk kemplang panggang;sayuran;Jawa Timur
